field,type,release_status,description
example_id,string,public,"Stable sanitized identifier for examples or paired stems."
stem_id,string,public,"Identifier tying untriggered and triggered variants of the same underlying task."
prompt_class,enum,public,"One of TH,H,TB,B."
has_trigger,boolean,public,"Whether a trigger-family placeholder is present."
intent_family,string,public_sanitized,"Coarse benign or harmful category; operational harmful details are redacted."
expected_policy_action,enum,public,"Expected safe model behavior: refuse or answer."
metric_name,enum,public,"attack_success for TH; refusal for H,TB,B."
raw_user_text,string,controlled,"Raw user text; not released publicly."
raw_model_output,string,controlled,"Model generation; not released publicly."
judge_label,integer,aggregate_only,"Binary label used for metrics; released only as aggregate tables or redacted audit categories."
judge_confidence,string,aggregate_only,"Judge confidence retained for audit; released only in aggregate or sanitized form."
judge_rationale,string,controlled,"Free-form rationale; not released publicly."
review_status,string,public_sanitized,"Human-review status or sanitized disagreement category."
